Country,Origin State,Airport Name,Flight Date
United States,Arizona,PHOENIX SKY HARBOR,111
United States,California,LOS ANGELES INTL,166
United States,California,METRO OAKLAND INTL,106
United States,California,MINETA SAN JOSE INTL,120
United States,California,SACRAMENTO INTL,352
United States,California,SAN FRANCISCO INTL ARPT,146
United States,Colorado,DENVER INTL AIRPORT,187
United States,DC,RONALD REAGAN WASHINGTON NATL,219
United States,DC,WASHINGTON DULLES INTL ARPT,256
United States,Florida,FORT LAUDERDALE/HOLLYWOOD INTL,93
United States,Florida,ORLANDO INTL,153
United States,Georgia,ATLANTA INTL,211
United States,Hawaii,HONOLULU INTL ARPT,135
United States,Hawaii,LIHUE ARPT,217
United States,Illinois,CHICAGO MIDWAY INTL ARPT,75
United States,Illinois,CHICAGO O'HARE INTL ARPT,430
United States,Indiana,INDIANAPOLIS INTL,144
United States,Kentucky,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,263
United States,Kentucky,LOUISVILLE INTL ARPT,272
United States,Louisiana,BARKSDALE AIR FORCE BASE ARPT,435
United States,Louisiana,NEW ORLEANS INTL,183
United States,Maryland,BALTIMORE WASH INTL,201
United States,Massachusetts,LOGAN INTL,146
United States,Michigan,DETROIT METRO WAYNE COUNTY ARPT,74
United States,Minnesota,MINNEAPOLIS-ST PAUL INTL,103
United States,Missouri,KANSAS CITY INTL,187
United States,Missouri,LAMBERT-ST LOUIS INTL,189
United States,Nebraska,EPPLEY AIRFIELD,118
United States,New Jersey,ATLANTIC CITY INTL,86
United States,New Jersey,NEWARK LIBERTY INTL ARPT,206
United States,New Jersey,TETERBORO AIRPORT,59
United States,New York,JOHN F KENNEDY INTL,216
United States,New York,LAGUARDIA NY,175
United States,North Carolina,CHARLOTTE/DOUGLAS INTL ARPT,269
United States,Ohio,CLEVELAND-HOPKINS INTL ARPT,98
United States,Ohio,PORT COLUMBUS INTL,112
United States,Oklahoma,WILL ROGERS WORLD ARPT,83
United States,Oregon,PORTLAND INTL (OR),245
United States,Pennsylvania,GREATER PITTSBURGH,289
United States,Pennsylvania,PHILADELPHIA INTL,225
United States,South Carolina,CHARLESTON AFB/INTL ARPT,242
United States,Tennessee,MEMPHIS INTL,272
United States,Tennessee,NASHVILLE INTL,297
United States,Texas,AUSTIN-BERGSTROM INTL,144
United States,Texas,DALLAS/FORT WORTH INTL ARPT,908
United States,Texas,GEORGE BUSH INTERCONTINENTAL,134
United States,Texas,HOUSTON-HOBBY,151
United States,Texas,SAN ANTONIO INTL,158
United States,Utah,SALT LAKE CITY INTL,236
United States,Washington,SEATTLE-TACOMA INTL,103
